client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
1d9c7d655330fdfdce1a63c03cc5e9a3070fe95d020a972904a134ce1a7a661bb2f451341ca6481a1b147093fe5691406dd8c025c539a261954d990ed0e45a96	common_voice_nb-NO_42856540.mp3	0094548ddc0581aa512019327615637747d26ae90b46dae1e1b641cd1a17eb24	Grace Augustin er en legende		2	0					nb-NO	
4549757ede9c32b0f5b3ee01775a67fcae0ab959a06517daeedaff7a876ef092d238e161740ffd784907ff1a3aff01045e90c3c75de7a2597e7d921c3b5de947	common_voice_nb-NO_43644154.mp3	7ad7c182f8a651766f2d94fda4b344083a3a4bf5fae1b43cf79487bc368a6ab9	Her kan du lese våre årsmeldinger på nett		2	0					nb-NO	
8f502f8963242465dca10c37105db6847b409dda05adf36c03f57610de32ff31720eca9b9db947d803d13ec4c32bee3443f195e03f557d6c0dbe7fd745f72c92	common_voice_nb-NO_42466889.mp3	11864f053e1d82301feaaad092ea0df20697a57305e34f8f8bda4475a874216e	En annen utfordring er valutakursene.	general	2	0	fifties	male_masculine			nb-NO	
f239b207d9f09053723bb8206218ce60e11f953fed872d5c9fc2f55d84038b822bd8445294d4014830e9f671414c6b2633aeefbf84a37da619fb82b30990b1db	common_voice_nb-NO_44034762.mp3	85fab8aac967a58d0cbde05a41658f357215df4456dbc30a5ea9159635018d3a	Broer er ment for å krysses.		2	0					nb-NO	
2e1c60eec9906c4359f0e2058037446d080dceb66bcde604a7008f8a2974072348c0df1ffc94321ab97c366e61017e07725f341cc02bf1c7d2d8cfd9148aa87b	common_voice_nb-NO_43643746.mp3	6b1f5282d2f7f41f7ad1e47d45ee9e6667bf5062e143460a28b8bb9fa8deab68	Generell orientering om lover og regler.		2	0					nb-NO	
2e1c60eec9906c4359f0e2058037446d080dceb66bcde604a7008f8a2974072348c0df1ffc94321ab97c366e61017e07725f341cc02bf1c7d2d8cfd9148aa87b	common_voice_nb-NO_43643747.mp3	742dc851cffa54119ab0d6e26e1680b589ffe62e783740af7d481464d8503060	Han fant få storrøykere blant mødrene.		2	0					nb-NO	
2e1c60eec9906c4359f0e2058037446d080dceb66bcde604a7008f8a2974072348c0df1ffc94321ab97c366e61017e07725f341cc02bf1c7d2d8cfd9148aa87b	common_voice_nb-NO_43643748.mp3	7907dea14e12673b55e3ffcef71277d1a901f0a333f19499ab22e5676da3454d	Jeg er sikker på jeg skulle gjøre noe viktig i dag.		2	0					nb-NO	
bd4b753eeeedcc84cea162e32dd4fd94e4f52d5acdd5d291a778f3ca992b424a4f87855031d78e70ea324b2ccd77b61e219a714953e1bad9500f6045e62b29f2	common_voice_nb-NO_42759933.mp3	0485dbf9e2c7e2dbb78f1c3ac2d3f6e35dfeef447dcf7af6ae50d84ac074d184	De bor i en av boligblokkene her.		2	0	thirties	male_masculine			nb-NO	
bd4b753eeeedcc84cea162e32dd4fd94e4f52d5acdd5d291a778f3ca992b424a4f87855031d78e70ea324b2ccd77b61e219a714953e1bad9500f6045e62b29f2	common_voice_nb-NO_42759935.mp3	09eca99f9e92eae7a9cc52693701f5c6e38cb6406b606051b886e23733862e16	Holum		2	0	thirties	male_masculine			nb-NO	
bd4b753eeeedcc84cea162e32dd4fd94e4f52d5acdd5d291a778f3ca992b424a4f87855031d78e70ea324b2ccd77b61e219a714953e1bad9500f6045e62b29f2	common_voice_nb-NO_42759936.mp3	12c34012208cf24e25dde6ecb1f6f577b9294564aae0e71185af842eb58e967f	F E S T E N		2	0	thirties	male_masculine			nb-NO	
cab77f8cb22474c60468396ffc621cd52e9748f5c65215d514964d7c1643b498f98cadd5708157e9f3711e3b2fb50d7167cc6b1b00e970cb88cf965fa3bfd1c1	common_voice_nb-NO_43644129.mp3	6777a0d4f25f8b3af6e7a4cae4c6d5bd08bba7dd69ccaf0f44fedd25c44e6485	Folk som kjører bil må ofte stå i kø.		2	0			Norsk bokmål		nb-NO	
cab77f8cb22474c60468396ffc621cd52e9748f5c65215d514964d7c1643b498f98cadd5708157e9f3711e3b2fb50d7167cc6b1b00e970cb88cf965fa3bfd1c1	common_voice_nb-NO_43644130.mp3	6c88597f903ffcbf003ead48f21ce0aa67385429c8d91dc6838e50088031c3dd	to tre seks fire åttiseks to hundre og åttitre		2	0			Norsk bokmål		nb-NO	
cab77f8cb22474c60468396ffc621cd52e9748f5c65215d514964d7c1643b498f98cadd5708157e9f3711e3b2fb50d7167cc6b1b00e970cb88cf965fa3bfd1c1	common_voice_nb-NO_43644132.mp3	5b56b5eb2a07ec75c66984279623791ec42a6a76349215fb40981aba471d2a77	Sosiale medier er en viktig plattform for influensere.	media_entertainment	2	0			Norsk bokmål		nb-NO	
